Program Code,Program URL,Class ID,Class Name,Catalogue,Units,Prerequisites,Restrictions,Class Section,Time,Days,Class Type,Instructor
AMST,https://classes.usc.edu/term-20241/classes/AMST/,AMST 330m:, Black Music and the Political Imagination ,"Explores the changing political meanings of black music throughout the 20th century, from freedom to a threat to civil order, from racial integration to Black liberation.",(4.0 units),Not available,Not available,10416R,11:00-12:20pm,"Tue, Thu",Lecture,Edwin Hill
AMST,https://classes.usc.edu/term-20241/classes/AMST/,AMST 344m:, Islamic Law and American Society ,"Examination of the nature and substance of Islamic law (Sharia) and how it relates to American democracy, society and secularism.",(4.0 units),Not available,Not available,10420D,11:00-12:20pm,"Tue, Thu",Lecture,Sherman Jackson
AMST,https://classes.usc.edu/term-20241/classes/AMST/,AMST 348m:, Race and the Environment ,"Relationships between environmentalism, environmental problems and racial-ethnic minorities. Rise of environmental justice movement. Assessment of social science methods used to investigate these relationships. Duplicates credit in the former GEOG-350.",(4.0 units),Not available,Not available,10317R,5:00-6:20pm,"Mon, Wed",Lecture,Megan Awwad
AMST,https://classes.usc.edu/term-20241/classes/AMST/,AMST 350:, Junior Seminar in American Studies and Ethnicity: Theories and Methods ,"Advanced study in interdisciplinary theories and methods for analyzing race and ethnicity in the United Stes, including a comparative study of topics such as inequality, gender, and class.",(4.0 units),Not available,Not available,10424R,2:00-4:50pm,Tuesday,Lecture,Shawn McDaniel
AMST,https://classes.usc.edu/term-20241/classes/AMST/,AMST 365:, Leadership in the Community -- Internship ,8-10 hours per week in a community-based internship plus 2 hour class discussion. Theoretical and practical issues associated with community leadership.,(4.0 units),Not available,Not available,10426R,2:00-4:50pm,Monday,Lecture,Stanley Huey
AMST,https://classes.usc.edu/term-20241/classes/AMST/,AMST 373m:, History of the Mexican American ,Racial and cultural background of Mexico; immigration and conquest; the Mexican in California and the southwest; the rise of contemporary Mexican-American consciousness.,(4.0 units),Not available,Not available,10428R,11:00-12:20pm,"Tue, Thu",Lecture,Natalia Molina
AMST,https://classes.usc.edu/term-20241/classes/AMST/,AMST 379:, Arabs in America ,"Arab immigration and acculturation in the U.S. from late-19th century to present; emphasis on community formation, race, religion and gender.",(4.0 units),Not available,Not available,10446R,5:00-6:20pm,"Mon, Wed",Lecture,Rojeen Harsini
AMST,https://classes.usc.edu/term-20241/classes/AMST/,AMST 389m:, Carceral Geographies ,"Focusing on California, interdisciplinary research teams will study why there are so many new US prisons. What is their relationship to shopping malls, gated communities, globalization?",(4.0 units),Prerequisite: AMST 200,Not available,10434R,5:00-6:20pm,"Mon, Wed",Lecture,Nayan Shah
AMST,https://classes.usc.edu/term-20241/classes/AMST/,AMST 392:, Undergraduate Research Methods ,Examination of processes of scholarly research; quantitative and qualitative research methods; faculty mentorship; experiential learning; research proposal writing; careers in research. Sophomore or junior standing in the major. Departmental approval.,(2.0 units),Not available,Not available,10433D,12:30-1:50pm,Tuesday,Lecture,Alisa Sanchez
AMST,https://classes.usc.edu/term-20241/classes/AMST/,AMST 442:," American Literature, 1920 to the Present ","American poetry, fiction, and drama since World War I with special attention to Eliot, Frost, Hemingway, Fitzgerald, O'Neill, Stevens, Faulkner, and Nabokov.",(4.0 units),Not available,Not available,32745D,5:00-6:20pm,"Tue, Thu",Lecture,Elda Maria Roman
AMST,https://classes.usc.edu/term-20241/classes/AMST/,AMST 445:, African American Anthropology ,"An examination of anthropological research on race and African American culture, from the 18th century to the present.",(4.0 units),Not available,Not available,10744D,2:00-4:50pm,Monday,Lecture,Lanita Jacobs
AMST,https://classes.usc.edu/term-20241/classes/AMST/,AMST 448m:, Chicano and Latino Literature ,"Development of the poetry, essay, short story and novel of the Chicano and Latino peoples of the United States, with particular emphasis on the differentiating characteristics between the multiple cultures that constitute the Latino populations.",(4.0 units),Not available,Not available,10437R,2:00-3:20pm,"Tue, Thu",Lecture,Elda Maria Roman
AMST,https://classes.usc.edu/term-20241/classes/AMST/,AMST 452m:," Race, Gender and Sexuality ","Examination of sexual discourses in the United States in the context of slavery, empire, sex work, labor markets, schools and prisons.",(4.0 units),Not available,Not available,10439R,2:00-4:50pm,Tuesday,Lecture,Nalya Rodriguez
AMST,https://classes.usc.edu/term-20241/classes/AMST/,AMST 490x:, Directed Research ,Individual research and readings. Not available for graduate credit.,"(1.0-8.0 units, max 12)",Not available,"Restriction:  Registration open to the following class level(s): Junior, Senior",10441D,TBA,TBA,Lecture,
AMST,https://classes.usc.edu/term-20241/classes/AMST/,AMST 493:, Senior Honors Thesis in American Studies and Ethnicity ,Writing the honors thesis; for students in one of the four American Studies and Ethnicity majors and Honors Program.,(4.0 units),Not available,Not available,10443D,2:00-4:50pm,Wednesday,Lecture,Lanita Jacobs
AMST,https://classes.usc.edu/term-20241/classes/AMST/,AMST 519:," Indigenous, Decolonial and Transhemispheric American Studies ","Evaluate pressing social science and humanities concerns hemispherically in relation to first peoples, decolonialization, land, cultural memory, and politics within comparative ethnic studies.",(4.0 units),Not available,Not available,10451R,2:00-4:50pm,Monday,Lecture,Chris Finley
AMST,https://classes.usc.edu/term-20241/classes/AMST/,AMST 580:, Readings in Cultural Studies ,"Seminar in theoretical approaches to cultural studies, with an emphasis on the analysis of race, gender, sexuality, and class in the U.S.",(4.0 units),Not available,Not available,10472R,5:00-7:50pm,Monday,Lecture,Dorinne Kondo
AMST,https://classes.usc.edu/term-20241/classes/AMST/,AMST 590:, Directed Research ,Research leading to the master's degree. Maximum units which may be applied to the degree to be determined by the program. Graded CR/NC.,(1.0-12.0 units),Not available,Not available,10478D,TBA,TBA,Lecture,
AMST,https://classes.usc.edu/term-20241/classes/AMST/,AMST 599:, Special Topics ,Seminar in selected topics in American studies and ethnicity.,"(2.0-4.0 units, max 8)",Not available,Not available,10480R,2:00-4:50pm,Tuesday,Lecture,Natalia Molina
AMST,https://classes.usc.edu/term-20241/classes/AMST/,AMST 635:, Critical Spatial Methods ,An overview of key methodological and theoretical approaches to the study of race and space.,(4.0 units),Not available,Not available,10486R,2:00-4:50pm,Tuesday,Lecture,Juan De Lara
AMST,https://classes.usc.edu/term-20241/classes/AMST/,AMST 701:, Contemporary Theories of American Studies and Ethnicity ,Seminar in representative theoretical works in the fields of American Studies and Ethnic Studies published in the past fifteen years.,"(4.0 units, max 8)",Not available,Not available,10492D,2:00-4:50pm,Wednesday,Lecture,Evelyn Alsultany
AMST,https://classes.usc.edu/term-20241/classes/AMST/,AMST 790:, Research ,Research leading to the doctorate. Maximum units which may be applied to the degree to be determined by the department. Graded CR/NC.,(1.0-12.0 units),Not available,Not available,10493D,TBA,TBA,Lecture,
AMST,https://classes.usc.edu/term-20241/classes/AMST/,AMST 794a:, Doctoral Dissertation ,Credit on acceptance of dissertation. Graded IP/CR/NC.,(2.0 units),Not available,Not available,10495D,TBA,TBA,Lecture,
AMST,https://classes.usc.edu/term-20241/classes/AMST/,AMST 794b:, Doctoral Dissertation ,Credit on acceptance of dissertation. Graded IP/CR/NC.,(2.0 units),Prerequisite: AMST 794A,Not available,10496D,TBA,TBA,Lecture,
AMST,https://classes.usc.edu/term-20241/classes/AMST/,AMST 794c:, Doctoral Dissertation ,Credit on acceptance of dissertation. Graded IP/CR/NC.,(2.0 units),Prerequisite: AMST 794B,Not available,10497D,TBA,TBA,Lecture,
AMST,https://classes.usc.edu/term-20241/classes/AMST/,AMST 794d:, Doctoral Dissertation ,Credit on acceptance of dissertation. Graded IP/CR/NC.,(2.0 units),Prerequisite: AMST 794C,Not available,10498D,TBA,TBA,Lecture,
AMST,https://classes.usc.edu/term-20241/classes/AMST/,AMST 794z:, Doctoral Dissertation ,Credit on acceptance of dissertation. Graded IP/CR/NC.,(0.0 units),Prerequisite: AMST 794D,Not available,10499D,TBA,TBA,Lecture,
ANTH,https://classes.usc.edu/term-20241/classes/ANTH/,ANTH 101g:," Body, Mind and Healing: Introduction to Medical Anthropology ","The body, illness and healing from a cultural perspective, including comparative studies of folk healing systems, curing rituals and Western biomedical practices.",(4.0 units),Not available,Not available,10601D,9:30-10:50am,"Tue, Thu",Lecture,Erin Moore
ANTH,https://classes.usc.edu/term-20241/classes/ANTH/,ANTH 200Lg:, The Human Animal ,"Foundations of the human species. Examination of scientific evidence from Darwinian theory, primate behavior, fossils, and the behavior of modern people. Laboratory. Duplicates credit in former ANTH 200Lg.",(4.0 units),Not available,Not available,38511R,12:30-1:50pm,"Tue, Thu",Lecture,Chrisandra Kufeldt
ANTH,https://classes.usc.edu/term-20241/classes/ANTH/,ANTH 202g:, Archaeology: Our Human Past ,"Archaeology as the means of investigating our shared human past, from the origins of humanity to the foundations of current civilization.",(4.0 units),Not available,Not available,10704D,5:00-6:20pm,"Tue, Thu",Lecture,Tracie Mayfield
ANTH,https://classes.usc.edu/term-20241/classes/ANTH/,ANTH 205g:, Introduction to Global Studies and Cross-cultural Research ,"The effects of globalization on social life in diverse communities, approaching related issues from an ethnographic perspective. Gateway course for the Global Studies Major.",(4.0 units),Not available,Not available,10805R,10:00-11:20am,"Tue, Thu",Lecture-Discussion,Emily Zeamer
ANTH,https://classes.usc.edu/term-20241/classes/ANTH/,ANTH 220:, Anthropology of the Environment ,Introduces students to anthropological inquiry into human relationships with the environment and provides foundational training in qualitative research methods to investigate environmental issues.,(4.0 units),Not available,Not available,10769R,3:30-4:50pm,"Mon, Wed",Lecture,Luisa Reis Castro
ANTH,https://classes.usc.edu/term-20241/classes/ANTH/,ANTH 255:," Culture, Performance and Personal Narrative ",Explore personal narratives: Stories people tell about their own lives and experiences as objects of artistic expression and sites for formation of individual and social identity.,(4.0 units),Not available,Not available,10651R,5:00-6:20pm,"Mon, Wed",Lecture,Kristiana Willsey
ANTH,https://classes.usc.edu/term-20241/classes/ANTH/,ANTH 263g:, Exploring Culture through Film ,"Concepts of social anthropology, using filmic representations of societies throughout the world. Gateway course for the Anthropology major.",(4.0 units),Not available,Not available,10608R,8:30-9:50am,"Mon, Wed",Lecture,"Xochitl Ruiz,Grace Simbulan,El Whittingham"
ANTH,https://classes.usc.edu/term-20241/classes/ANTH/,ANTH 273g:," Shamans, Spirits and Ancestors: Non-Western Religious Traditions ","An intensive study of local systems of belief and knowledge in selected societies in the Pacific, Asia, Africa, the Caribbean and Latin America with emphasis on ideas of the spirit world.",(4.0 units),Not available,Not available,10715R,11:00-12:20pm,"Tue, Thu",Lecture,Janet Hoskins
ANTH,https://classes.usc.edu/term-20241/classes/ANTH/,ANTH 306:, Biology of the Non-Human Primates ,"Behavior and ecology of living nonhuman primates, with an emphasis on field studies of apes and monkeys. Topics include aggression, communication, reproduction and cognition.",(4.0 units),Not available,Not available,38531R,3:30-4:50pm,"Mon, Wed",Lecture,Chrisandra Kufeldt
ANTH,https://classes.usc.edu/term-20241/classes/ANTH/,ANTH 310:, Archaeology of the Americas ,"Pre-Columbian culture from early hunters to the Spanish conquest in major geographical areas of Mexico, Central America, Peru, or the United States.",(4.0 units),Not available,Not available,10616R,2:00-3:20pm,"Tue, Thu",Lecture,Eric Heller
ANTH,https://classes.usc.edu/term-20241/classes/ANTH/,ANTH 312:, Documenting Latinx Los Angeles Food Cultures ,"Explores Latinx food in Los Angeles through an anthropological lens. Students experience, document and analyze local food knowledge and traditions through active field study.",(4.0 units),Not available,Not available,10831R,2:00-4:50pm,Wednesday,Lecture,Xochitl Ruiz
ANTH,https://classes.usc.edu/term-20241/classes/ANTH/,ANTH 315gw:, Native North Americans ,"Indigenous peoples of North America: major cultural themes, contemporary issues, language revitalization, native sovereignty, environmental issues, decolonization.",(4.0 units),Not available,Not available,10617R,2:00-3:20pm,"Tue, Thu",Lecture,"Tok Thompson,Kristiana Willsey"
ANTH,https://classes.usc.edu/term-20241/classes/ANTH/,ANTH 318:, Ethics and Global Heritage ,"Archaeology and global heritage debates, laws, ethical conundrums, and stakeholder perspectives reveal goals and guiding values of societys exploration of the past.",(4.0 units),Not available,Not available,60061R,12:00-2:50pm,Wednesday,Lecture,Lynn Dodd
ANTH,https://classes.usc.edu/term-20241/classes/ANTH/,ANTH 325:, Global Studies Research Methods ,"Methods for field research in international settings include ethnography, archival work, surveying and documentation; preparation for overseas research and senior thesis. Recommended preparation: ANTH-205.",(4.0 units),Not available,Not available,10623R,1:00-3:50pm,Thursday,Lecture,Emily Zeamer
ANTH,https://classes.usc.edu/term-20241/classes/ANTH/,ANTH 327:, Media Ethnography and Living Archives ,"Course explores collections and archives through ethnographic methods, cultural history and media production.",(4.0 units),Not available,Not available,10775D,1:00-3:50pm,Wednesday,Lecture,Jennifer Cool
ANTH,https://classes.usc.edu/term-20241/classes/ANTH/,ANTH 331:," Disability, Embodiment and an Ethics of Care ","Highlights the theoretical, intellectual and artistic intersections of anthropological theories of embodiment, disability studies/""crip theory"", critical race studies, queer theory and thearts/popular culture.",(4.0 units),Not available,Not available,10661R,4:00-6:50pm,Monday,Lecture,Dorinne Kondo
ANTH,https://classes.usc.edu/term-20241/classes/ANTH/,ANTH 333mg:, Forms of Folklore ,"Introduction to folklore as a discipline, including folklore research methods and theory. Core course for the minor in Folklore and Popular Culture.",(4.0 units),Not available,Not available,10626R,12:30-1:50pm,"Tue, Thu",Lecture,"Tok Thompson,Kristiana Willsey"
ANTH,https://classes.usc.edu/term-20241/classes/ANTH/,ANTH 343:, Heritage Archaeology ,"An introduction to the field of heritage studies as it is practiced today, examining archaeological, ethnohistorical and ethnographic theory and methodologies, mixed-methods approaches and research.",(4.0 units),Not available,Not available,10774R,11:00-12:20pm,"Tue, Thu",Lecture,Tracie Mayfield
ANTH,https://classes.usc.edu/term-20241/classes/ANTH/,ANTH 345:," Politics, Social Organization and Law ","Legal systems are embedded in political, social and historical contexts: comparative study of legal systems throughout history and around the world.",(4.0 units),Not available,Not available,10686R,12:30-1:50pm,"Tue, Thu",Lecture,Erin Moore
ANTH,https://classes.usc.edu/term-20241/classes/ANTH/,ANTH 355:, Urban Anthropology ,"Anthropological study of city life and urban social experience. Ethnography and social theory of cities including social space, public policy, ethnic politics, globalization.",(4.0 units),Not available,Not available,10659R,2:00-4:50pm,Monday,Lecture,Xochitl Ruiz
ANTH,https://classes.usc.edu/term-20241/classes/ANTH/,ANTH 371mg:, Cross-Cultural Research on Urban Gangs ,"Youth gang dynamics and their effects on institutions. Comparative analysis of Asian, African, and Mexican American gangs.",(4.0 units),Not available,Not available,10633R,11:00-12:20pm,"Tue, Thu",Lecture,"Thomas Ward,Sook Lin Toh,Brodie Quinn"
ANTH,https://classes.usc.edu/term-20241/classes/ANTH/,ANTH 373:," Magic, Witchcraft and Healing ","Analysis of the practices of witches and witch doctors, priests, diviners and traditional healers in Western and non-Western societies, relating their practices to religion and medicine.",(4.0 units),Not available,Not available,10629R,2:00-3:20pm,"Tue, Thu",Lecture,Thomas Ward
ANTH,https://classes.usc.edu/term-20241/classes/ANTH/,ANTH 380:, Sex and Gender in Anthropological Perspective ,Cultural construction of gender in a number of non-western societies is compared to ideas of sex and sexual differences in American society.,(4.0 units),Not available,Not available,10653R,2:00-3:20pm,"Tue, Thu",Lecture,Sandy Wenger
ANTH,https://classes.usc.edu/term-20241/classes/ANTH/,ANTH 393:, Directed Internship ,"Real-world work experience in an internship position, while also learning to apply anthropological theory and research methods to complete a related research project. Enrollment requires permission from department.","(2.0-8.0 units, max 8)",Not available,"Restriction:  Registration open to the following major(s): Anthropology, Anthropology (Visual Anthropology), Global Studies, Visual Anthropology",10632D,TBA,TBA,Lecture,Emily Zeamer
ANTH,https://classes.usc.edu/term-20241/classes/ANTH/,ANTH 406:, Theory and Method in Human Evolutionary Biology ,Historical and theoretical approaches to major issues in the field of human evolutionary biology. Capstone course in which students will undertake an original independent research project.,(4.0 units),Prerequisite: HBIO 200,"Restriction:  Registration closed to the following class level(s): Freshmen, Junior, Sophomore",38535R,2:00-4:50pm,Monday,Lecture,David Raichlen
ANTH,https://classes.usc.edu/term-20241/classes/ANTH/,ANTH 411:, Thesis Seminar in Ethnographic Analysis ,"Social analysis of qualitative and ethnographic research data, advanced ethnographic writing and representation. Capstone course for Anthropology Major.",(4.0 units),Not available,Not available,10641D,2:00-4:50pm,Tuesday,Lecture,Fiori Berhane
ANTH,https://classes.usc.edu/term-20241/classes/ANTH/,ANTH 445:, African American Anthropology ,"An examination of anthropological research on race and African American culture, from the 18th century to the present.",(4.0 units),Not available,Not available,10744D,2:00-4:50pm,Monday,Lecture,Lanita Jacobs
ANTH,https://classes.usc.edu/term-20241/classes/ANTH/,ANTH 485:, Global Studies Capstone Seminar ,Provides senior Global Studies majors with the practical and theoretical skills needed to complete the required Senior Capstone project in Global Studies.,(4.0 units),Not available,Restriction:  Registration open to the following major(s): Global Studies,10743D,2:00-4:50pm,Monday,Lecture,Nancy Lutkehaus
ANTH,https://classes.usc.edu/term-20241/classes/ANTH/,ANTH 490x:, Directed Research ,Individual research and readings. Not available for graduate credit.,"(1.0-8.0 units, max 12)",Not available,"Restriction:  Registration open to the following class level(s): Junior, Senior",10643D,TBA,TBA,Lecture,Peter Redfield
ANTH,https://classes.usc.edu/term-20241/classes/ANTH/,ANTH 491:, Directed Research for Honors ,Individually guided research and readings culminating in the production of an honors thesis. prerequisite: 3.0 gpa; 201g plus 8 units of upper division ANTH courses.,(4.0 units),Prerequisite: ANTH 201,Not available,10644D,TBA,TBA,Lecture,Peter Redfield
ANTH,https://classes.usc.edu/term-20241/classes/ANTH/,ANTH 499:, Special Topics ,"Current literature: social change, comparative institutions, urbanization, ideology.","(2.0-4.0 units, max 8)",Not available,Not available,10768D,3:30-6:20pm,Tuesday,Lecture,Andrea Ballestero
ANTH,https://classes.usc.edu/term-20241/classes/ANTH/,ANTH 554:, Women in Global Perspective ,"Women and immigration, employment, and household and family relations in the context of the global economy; women's social and political movements in diverse cultural contexts.",(4.0 units),Not available,Not available,34976R,5:00-7:50pm,Thursday,Lecture,Eliz Sanasarian
ANTH,https://classes.usc.edu/term-20241/classes/ANTH/,ANTH 570:, Topics in Ethnographic Media Arts ,A hands-on approach to contemporary topics in ethnographic media arts and creative nonfiction cinema.,"(2.0-6.0 units, max 12)",Not available,Not available,37473D,10:00-12:50pm,Thursday,Lecture-Lab,Stephanie Spray
ANTH,https://classes.usc.edu/term-20241/classes/ANTH/,ANTH 577:, Advanced Anthropological Media Seminar ,"A hands-on laboratory-based survey of post-production technologies, including editing both new and older footage. Students should be finishing their own documentaries.","(4.0 units, max 8)",Prerequisite: ANTH 576,Not available,10647R,2:00-4:50pm,Tuesday,Lecture,Jennifer Cool
ANTH,https://classes.usc.edu/term-20241/classes/ANTH/,ANTH 590:, Directed Research ,Research leading to the master's degree. Maximum units which may be applied to the degree to be determined by the department. Graded C/NC.,(1.0-12.0 units),Not available,Not available,10649D,TBA,TBA,Lecture,
ANTH,https://classes.usc.edu/term-20241/classes/ANTH/,ANTH 602:, The Anthropology of Popular Culture ,"The relationship between anthropology and popular culture is explored through a critical examination of the category ""popular culture.""",(4.0 units),Not available,"Restriction:  Registration open to the following class level(s): Doctoral Student, Master Student",10685R,5:00-6:20pm,"Tue, Thu",Lecture,Tok Thompson
